title,genre,publisher,developer,console,total_sales,na_sales,jp_sales,pal_sales,other_sales,critic_score,release_date,num_platforms
The Chronicles of Riddick: Assault on Dark Athena,Shooter,Atari,Starbreeze Studios AB,"PC, PS3, X360",0.55,0.28,0.00,0.20,0.07,80.67,2009-04-07,3
Hotel Dusk: Room 215,Adventure,Nintendo,Cing,DS,0.54,0.26,0.22,0.04,0.03,80.00,2007-01-22,1
FIFA 99,Sports,EA Sports,EA Canada,N64,0.54,0.11,0.00,0.39,0.03,0.00,1998-11-30,1
NARC,Shooter,Midway Games,Point of View,"PS2, XB",0.54,0.32,0.00,0.18,0.06,55.00,2005-03-22,2
Sniper: Ghost Warrior 3,Shooter,City Interactive,City Interactive,"PS4, XOne",0.54,0.25,0.03,0.20,0.08,0.00,2017-04-25,2
Manhunt 2,Action,Rockstar Games,Rockstar Toronto,Wii,0.54,0.25,0.00,0.23,0.06,58.00,2007-10-29,1
Mario Tennis Ultra Smash,Sports,Nintendo,Camelot Software Planning,WiiU,0.54,0.16,0.15,0.20,0.03,61.00,2015-11-20,1
The Fairly Odd Parents: Breakin' Da Rules,Platform,THQ,Helixe,GBA,0.54,0.39,0.00,0.14,0.01,0.00,2003-11-03,1
Classic NES Series: Ice Climber,Platform,Nintendo,Nintendo,GBA,0.54,0.10,0.40,0.04,0.01,61.00,2004-06-02,1
Time Crisis: Razing Storm,Shooter,Namco Bandai,Nex Entertainment,PS3,0.54,0.18,0.07,0.21,0.08,58.00,2010-10-19,1
Pirates of the Caribbean: Dead Man's Chest,Adventure,Buena Vista,Griptonite Games,"DS, PSP",0.54,0.48,0.00,0.02,0.04,43.00,2006-06-27,2
The Sims 3: Pets,Simulation,Electronic Arts,The Sims Studio,PC,0.54,0.54,0.00,0.00,0.00,75.00,2011-10-18,1
50 Classic Games,Misc,Destineer,cerasus.media GmbH,DS,0.54,0.50,0.00,0.00,0.04,0.00,2009-07-21,1
SingStar Summer Party,Misc,Sony Computer Entertainment,SCEE London Studio,PS2,0.54,0.00,0.00,0.06,0.48,0.00,2008-04-25,1
